series,model,forecast_date,fit_predict_seconds,selected_observations
Load,B0,2025-02-01,0.007766899987473153,1
Load,B1,2025-02-01,0.009788199997274205,144
Load,B2,2025-02-01,0.010023499999078922,144
Load,B3,2025-02-01,0.012963800007128157,1008
Load,B4,2025-02-01,0.010157700002309866,576
PV,B0,2025-02-01,0.010175199990044348,1
PV,B1,2025-02-01,0.015339999998104759,144
PV,B2,2025-02-01,0.012001600000075996,144
PV,B3,2025-02-01,0.012436899996828288,1008
PV,B4,2025-02-01,0.011260500003118068,576
Load,B0,2025-02-02,0.009810100003960542,1
Load,B1,2025-02-02,0.011177599997608922,144
Load,B2,2025-02-02,0.01104969999869354,144
Load,B3,2025-02-02,0.011076800001319498,1008
Load,B4,2025-02-02,0.012892200000351295,576
PV,B0,2025-02-02,0.00809409999055788,1
PV,B1,2025-02-02,0.01106830000935588,144
PV,B2,2025-02-02,0.011022199993021786,144
PV,B3,2025-02-02,0.01118230000429321,1008
PV,B4,2025-02-02,0.010984600012307055,576
Load,B0,2025-02-03,0.009355899994261563,1
Load,B1,2025-02-03,0.010365200010710396,144
Load,B2,2025-02-03,0.013203499998780899,144
Load,B3,2025-02-03,0.013368999992962927,1008
Load,B4,2025-02-03,0.011041699995985255,576
PV,B0,2025-02-03,0.010297500004526228,1
PV,B1,2025-02-03,0.010438099998282269,144
PV,B2,2025-02-03,0.013077600000542589,144
PV,B3,2025-02-03,0.012881199989351444,1008
PV,B4,2025-02-03,0.01400699999067001,576
Load,B0,2025-02-04,0.00940439999976661,1
Load,B1,2025-02-04,0.009125199998379685,144
Load,B2,2025-02-04,0.01058760000159964,144
Load,B3,2025-02-04,0.010355700011132285,1008
Load,B4,2025-02-04,0.010710899994592182,576
PV,B0,2025-02-04,0.008388499991269782,1
PV,B1,2025-02-04,0.011314200004562736,144
PV,B2,2025-02-04,0.009191000004648231,144
PV,B3,2025-02-04,0.011409899991122074,1008
PV,B4,2025-02-04,0.01181199999700766,576
Load,B0,2025-02-05,0.007985899996128865,1
Load,B1,2025-02-05,0.010820900002727285,144
Load,B2,2025-02-05,0.00952829999732785,144
Load,B3,2025-02-05,0.010240200004773214,1008
Load,B4,2025-02-05,0.011889300003531389,720
PV,B0,2025-02-05,0.008550599988666363,1
PV,B1,2025-02-05,0.011972100008279085,144
PV,B2,2025-02-05,0.010616999992635101,144
PV,B3,2025-02-05,0.009478499996475875,1008
PV,B4,2025-02-05,0.010363399997004308,720
Load,B0,2025-02-06,0.007545899992692284,1
Load,B1,2025-02-06,0.010328299991670065,144
Load,B2,2025-02-06,0.01323219999903813,144
Load,B3,2025-02-06,0.013142299998435192,1008
Load,B4,2025-02-06,0.009642099990742281,720
PV,B0,2025-02-06,0.010498700008611195,1
PV,B1,2025-02-06,0.010189699998591095,144
PV,B2,2025-02-06,0.011706499994033948,144
PV,B3,2025-02-06,0.01214110000000801,1008
PV,B4,2025-02-06,0.011336499999742955,720
Load,B0,2025-02-07,0.010410200004116632,1
Load,B1,2025-02-07,0.010236200003419071,144
Load,B2,2025-02-07,0.011472199999843724,144
Load,B3,2025-02-07,0.011897200005478226,1008
Load,B4,2025-02-07,0.01197150000371039,720
PV,B0,2025-02-07,0.014713299999129958,1
PV,B1,2025-02-07,0.012249399995198473,144
PV,B2,2025-02-07,0.013682600008905865,144
PV,B3,2025-02-07,0.01133269999991171,1008
PV,B4,2025-02-07,0.010311599995475262,720
Load,B0,2025-02-08,0.007564400002593175,1
Load,B1,2025-02-08,0.010100100000272505,144
Load,B2,2025-02-08,0.009370800005854107,144
Load,B3,2025-02-08,0.008948899994720705,1008
Load,B4,2025-02-08,0.00917699999990873,720
PV,B0,2025-02-08,0.01024959998903796,1
PV,B1,2025-02-08,0.009361699994769879,144
PV,B2,2025-02-08,0.009088800012250431,144
PV,B3,2025-02-08,0.009466000003158115,1008
PV,B4,2025-02-08,0.011297400007606484,720
Load,B0,2025-02-09,0.00730650000332389,1
Load,B1,2025-02-09,0.011291599992546253,144
Load,B2,2025-02-09,0.010292400009348057,144
Load,B3,2025-02-09,0.01145810000889469,1008
Load,B4,2025-02-09,0.014544899997417815,720
PV,B0,2025-02-09,0.007901399992988445,1
PV,B1,2025-02-09,0.011199600005056709,144
PV,B2,2025-02-09,0.008799799994449131,144
PV,B3,2025-02-09,0.009577599994372576,1008
PV,B4,2025-02-09,0.011184199989656918,720
Load,B0,2025-02-10,0.008684699991135858,1
Load,B1,2025-02-10,0.011434700005338527,144
Load,B2,2025-02-10,0.008679499995196238,144
Load,B3,2025-02-10,0.009140399997704662,1008
Load,B4,2025-02-10,0.009452099999180064,720
PV,B0,2025-02-10,0.006783000004361384,1
PV,B1,2025-02-10,0.009690599996247329,144
PV,B2,2025-02-10,0.00807340000756085,144
PV,B3,2025-02-10,0.009026200001244433,1008
PV,B4,2025-02-10,0.008510200001182966,720
Load,B0,2025-02-11,0.010954700002912432,1
Load,B1,2025-02-11,0.012661499989917502,144
Load,B2,2025-02-11,0.009937299997545779,144
Load,B3,2025-02-11,0.009205299997120164,1008
Load,B4,2025-02-11,0.010055799997644499,720
PV,B0,2025-02-11,0.006933399999979883,1
PV,B1,2025-02-11,0.0076791999890701845,144
PV,B2,2025-02-11,0.008496800001012161,144
PV,B3,2025-02-11,0.008588700002292171,1008
PV,B4,2025-02-11,0.010570099999313243,720
Load,B0,2025-02-12,0.00714360001438763,1
Load,B1,2025-02-12,0.008611500001279637,144
Load,B2,2025-02-12,0.007898800002294593,144
Load,B3,2025-02-12,0.009565300002577715,1008
Load,B4,2025-02-12,0.009691200000816025,864
PV,B0,2025-02-12,0.009139899993897416,1
PV,B1,2025-02-12,0.009345500002382323,144
PV,B2,2025-02-12,0.007833999989088625,144
PV,B3,2025-02-12,0.008598399988841265,1008
PV,B4,2025-02-12,0.008665899993502535,864
Load,B0,2025-02-13,0.006761800003005192,1
Load,B1,2025-02-13,0.007812399999238551,144
Load,B2,2025-02-13,0.00773839998873882,144
Load,B3,2025-02-13,0.00846589999855496,1008
Load,B4,2025-02-13,0.00869700001203455,864
PV,B0,2025-02-13,0.007790000003296882,1
PV,B1,2025-02-13,0.007942399999592453,144
PV,B2,2025-02-13,0.007737199994153343,144
PV,B3,2025-02-13,0.008367499991436489,1008
PV,B4,2025-02-13,0.008582900001783855,864
Load,B0,2025-02-14,0.006956600002013147,1
Load,B1,2025-02-14,0.008459799995762296,144
Load,B2,2025-02-14,0.00835180000285618,144
Load,B3,2025-02-14,0.008419599995249882,1008
Load,B4,2025-02-14,0.008902799992938526,864
PV,B0,2025-02-14,0.007148400007281452,1
PV,B1,2025-02-14,0.007812800002284348,144
PV,B2,2025-02-14,0.008239100003265776,144
PV,B3,2025-02-14,0.009337800001958385,1008
PV,B4,2025-02-14,0.00881179999851156,864
Load,B0,2025-02-15,0.008323299989569932,1
Load,B1,2025-02-15,0.00862149999011308,144
Load,B2,2025-02-15,0.007845799991628155,144
Load,B3,2025-02-15,0.009578299999702722,1008
Load,B4,2025-02-15,0.009503499997663312,864
PV,B0,2025-02-15,0.007380800001556054,1
PV,B1,2025-02-15,0.00834000000031665,144
PV,B2,2025-02-15,0.008415600008447655,144
PV,B3,2025-02-15,0.00879700000223238,1008
PV,B4,2025-02-15,0.009145000003627501,864
Load,B0,2025-02-16,0.007169000004068948,1
Load,B1,2025-02-16,0.007889999993494712,144
Load,B2,2025-02-16,0.007809199989424087,144
Load,B3,2025-02-16,0.008294999992358498,1008
Load,B4,2025-02-16,0.00989859999390319,864
PV,B0,2025-02-16,0.007193099998403341,1
PV,B1,2025-02-16,0.008246000012150034,144
PV,B2,2025-02-16,0.008080200001131743,144
PV,B3,2025-02-16,0.009260899998480454,1008
PV,B4,2025-02-16,0.009061700009624474,864
Load,B0,2025-02-17,0.007208800001535565,1
Load,B1,2025-02-17,0.007984600000781938,144
Load,B2,2025-02-17,0.008058599996729754,144
Load,B3,2025-02-17,0.008417200006078929,1008
Load,B4,2025-02-17,0.00948969999444671,864
PV,B0,2025-02-17,0.0074939999904017895,1
PV,B1,2025-02-17,0.008038599989959039,144
PV,B2,2025-02-17,0.0079258000041591,144
PV,B3,2025-02-17,0.01142470000195317,1008
PV,B4,2025-02-17,0.01124829999753274,864
Load,B0,2025-02-18,0.0076135999988764524,1
Load,B1,2025-02-18,0.008647599999676459,144
Load,B2,2025-02-18,0.00844360000337474,144
Load,B3,2025-02-18,0.008643000008305535,1008
Load,B4,2025-02-18,0.008876699997927062,864
PV,B0,2025-02-18,0.007833399999071844,1
PV,B1,2025-02-18,0.008099999991827644,144
PV,B2,2025-02-18,0.008380500003113411,144
PV,B3,2025-02-18,0.009503099994617514,1008
PV,B4,2025-02-18,0.009182399997371249,864
Load,B0,2025-02-19,0.007123799994587898,1
Load,B1,2025-02-19,0.00892359999124892,144
Load,B2,2025-02-19,0.008139600002323277,144
Load,B3,2025-02-19,0.009044699996593408,1008
Load,B4,2025-02-19,0.009252100004232489,1008
PV,B0,2025-02-19,0.007368799997493625,1
PV,B1,2025-02-19,0.008067999995546415,144
PV,B2,2025-02-19,0.008326999988639727,144
PV,B3,2025-02-19,0.008538800000678748,1008
PV,B4,2025-02-19,0.009099600007175468,1008
Load,B0,2025-02-20,0.007039799995254725,1
Load,B1,2025-02-20,0.008177399999112822,144
Load,B2,2025-02-20,0.008024900002055801,144
Load,B3,2025-02-20,0.009154400002444163,1008
Load,B4,2025-02-20,0.010235800000373274,1008
PV,B0,2025-02-20,0.00780220000888221,1
PV,B1,2025-02-20,0.00813630000629928,144
PV,B2,2025-02-20,0.008253100008005276,144
PV,B3,2025-02-20,0.008730600005947053,1008
PV,B4,2025-02-20,0.009425000011106022,1008
Load,B0,2025-02-21,0.00753909999912139,1
Load,B1,2025-02-21,0.008399300000746734,144
Load,B2,2025-02-21,0.00868379999883473,144
Load,B3,2025-02-21,0.009649500003433786,1008
Load,B4,2025-02-21,0.010650800002622418,1008
PV,B0,2025-02-21,0.00867919999291189,1
PV,B1,2025-02-21,0.009222799999406561,144
PV,B2,2025-02-21,0.009546000001137145,144
PV,B3,2025-02-21,0.008805000004940666,1008
PV,B4,2025-02-21,0.009709400008432567,1008
Load,B0,2025-02-22,0.007258800003910437,1
Load,B1,2025-02-22,0.008321100001921877,144
Load,B2,2025-02-22,0.00822439999319613,144
Load,B3,2025-02-22,0.009575000003678724,1008
Load,B4,2025-02-22,0.009246400004485622,1008
PV,B0,2025-02-22,0.007290300010936335,1
PV,B1,2025-02-22,0.00830820000555832,144
PV,B2,2025-02-22,0.009347400002297945,144
PV,B3,2025-02-22,0.009532199997920543,1008
PV,B4,2025-02-22,0.009632200002670288,1008
Load,B0,2025-02-23,0.007156600011512637,1
Load,B1,2025-02-23,0.00906070000200998,144
Load,B2,2025-02-23,0.009888799992040731,144
Load,B3,2025-02-23,0.008685400011017919,1008
Load,B4,2025-02-23,0.009319000004325062,1008
PV,B0,2025-02-23,0.007248599999002181,1
PV,B1,2025-02-23,0.008534699998563156,144
PV,B2,2025-02-23,0.008262900009867735,144
PV,B3,2025-02-23,0.008678800004418008,1008
PV,B4,2025-02-23,0.00945030000002589,1008
Load,B0,2025-02-24,0.008456600000499748,1
Load,B1,2025-02-24,0.009248999995179474,144
Load,B2,2025-02-24,0.008438000004389323,144
Load,B3,2025-02-24,0.008566499993321486,1008
Load,B4,2025-02-24,0.00981050000700634,1008
PV,B0,2025-02-24,0.007488300005206838,1
PV,B1,2025-02-24,0.008256100001744926,144
PV,B2,2025-02-24,0.010747899999842048,144
PV,B3,2025-02-24,0.010497499999473803,1008
PV,B4,2025-02-24,0.01019119999546092,1008
Load,B0,2025-02-25,0.007431999998516403,1
Load,B1,2025-02-25,0.008303399998112582,144
Load,B2,2025-02-25,0.008366900001419708,144
Load,B3,2025-02-25,0.008872999998857267,1008
Load,B4,2025-02-25,0.009701999995741062,1008
PV,B0,2025-02-25,0.009159499997622333,1
PV,B1,2025-02-25,0.009692200008430518,144
PV,B2,2025-02-25,0.008408499998040497,144
PV,B3,2025-02-25,0.014928900011000223,1008
PV,B4,2025-02-25,0.011754799998016097,1008
Load,B0,2025-02-26,0.007131300008040853,1
Load,B1,2025-02-26,0.009063400008017197,144
Load,B2,2025-02-26,0.009922600002028048,144
Load,B3,2025-02-26,0.010131600007298402,1008
Load,B4,2025-02-26,0.009895499999402091,1152
PV,B0,2025-02-26,0.007390400001895614,1
PV,B1,2025-02-26,0.008781399999861605,144
PV,B2,2025-02-26,0.008388500005821697,144
PV,B3,2025-02-26,0.009515899990219623,1008
PV,B4,2025-02-26,0.009456700005102903,1152
Load,B0,2025-02-27,0.007470299999113195,1
Load,B1,2025-02-27,0.010282100003678352,144
Load,B2,2025-02-27,0.008982600003946573,144
Load,B3,2025-02-27,0.008769699998083524,1008
Load,B4,2025-02-27,0.009773099998710677,1152
PV,B0,2025-02-27,0.007380399998510256,1
PV,B1,2025-02-27,0.00936159999400843,144
PV,B2,2025-02-27,0.008738100004848093,144
PV,B3,2025-02-27,0.008821099996566772,1008
PV,B4,2025-02-27,0.00997490000736434,1152
Load,B0,2025-02-28,0.0078104999993229285,1
Load,B1,2025-02-28,0.008839600006467663,144
Load,B2,2025-02-28,0.009999500005505979,144
Load,B3,2025-02-28,0.009022600002936088,1008
Load,B4,2025-02-28,0.009394099994096905,1152
PV,B0,2025-02-28,0.007446400006301701,1
PV,B1,2025-02-28,0.008655400000861846,144
PV,B2,2025-02-28,0.008411500006332062,144
PV,B3,2025-02-28,0.008994599993457086,1008
PV,B4,2025-02-28,0.009315200004493818,1152
Load,B0,2025-03-01,0.007524200002080761,1
Load,B1,2025-03-01,0.008865300012985244,144
Load,B2,2025-03-01,0.008572699996875599,144
Load,B3,2025-03-01,0.008828299993183464,1008
Load,B4,2025-03-01,0.009347200000775047,1152
PV,B0,2025-03-01,0.00751839998702053,1
PV,B1,2025-03-01,0.008630199998151511,144
PV,B2,2025-03-01,0.008421999998972751,144
PV,B3,2025-03-01,0.009255899989511818,1008
PV,B4,2025-03-01,0.010412599993287586,1152
Load,B0,2025-03-02,0.008074800003669225,1
Load,B1,2025-03-02,0.01171139998768922,144
Load,B2,2025-03-02,0.008499100003973581,144
Load,B3,2025-03-02,0.008902699992177077,1008
Load,B4,2025-03-02,0.011137800000142306,1152
PV,B0,2025-03-02,0.007668499994906597,1
PV,B1,2025-03-02,0.008461100005661137,144
PV,B2,2025-03-02,0.008635999998659827,144
PV,B3,2025-03-02,0.009120499991695397,1008
PV,B4,2025-03-02,0.01102619999437593,1152
Load,B0,2025-03-03,0.007828899993910454,1
Load,B1,2025-03-03,0.008905499998945743,144
Load,B2,2025-03-03,0.008456800002022646,144
Load,B3,2025-03-03,0.008978699988801964,1008
Load,B4,2025-03-03,0.010112299991305918,1152
PV,B0,2025-03-03,0.00842670000565704,1
PV,B1,2025-03-03,0.009091100000659935,144
PV,B2,2025-03-03,0.009730100005981512,144
PV,B3,2025-03-03,0.009482300010859035,1008
PV,B4,2025-03-03,0.010164299994357862,1152
Load,B0,2025-03-04,0.00789930000610184,1
Load,B1,2025-03-04,0.008739599987166002,144
Load,B2,2025-03-04,0.009090599996852688,144
Load,B3,2025-03-04,0.009770899996510707,1008
Load,B4,2025-03-04,0.010224199999356642,1152
PV,B0,2025-03-04,0.007809400005498901,1
