series,model_dlinear,n_dlinear,mae_kw_dlinear,mean_abs_actual_kw_dlinear,daylight_n_dlinear,daylight_mae_kw_dlinear,rmse_kw_dlinear,nmae_dlinear,all_day_mae_kw_dlinear,nmae_defined_dlinear,model_baseline,n_baseline,mae_kw_baseline,mean_abs_actual_kw_baseline,daylight_n_baseline,daylight_mae_kw_baseline,rmse_kw_baseline,nmae_baseline,all_day_mae_kw_baseline,nmae_defined_baseline,absolute_improvement_kw,relative_improvement_pct,scope,month,horizon_step,history_size_group
Load,DLinear,48096,182.9798097839074,4616.7763833894705,0,,235.34594306993804,0.03963367392933383,,True,B2,48096,176.795721172,4616.77638339,0,,244.286614995,0.0382941919839,,True,-6.184088611907413,-3.4978723302308166,global,,,
PV,DLinear,48096,201.68984587527223,2378.8535422010145,26880,307.0545876980297,328.1107178278096,0.08478447382206657,201.68984587527223,True,B3,48096,153.399706725,2378.8535422,26880,274.384169926,303.857739256,0.0644847208975,153.399706725,True,-48.29013915027224,-31.47994229013885,global,,,
Load,DLinear,4032,172.68449112925097,4516.8965253224205,0,,218.553954642443,0.03823078305229155,,True,B2,4032,146.437921776,4516.89652532,0,,184.382033337,0.0324200302032,,True,-26.246569353250976,-17.923341874107763,monthly,2025-02,,
Load,DLinear,4464,135.70316004975805,4355.698995407706,0,,170.27318856728948,0.031155311740511088,,True,B2,4464,141.230024933,4355.69899541,0,,180.778014184,0.0324241930128,,True,5.526864883241956,3.9133781119587843,monthly,2025-03,,
Load,DLinear,4320,132.68204149842362,4392.976799050925,0,,166.8592101127948,0.030203219267419923,,True,B2,4320,125.522644606,4392.97679905,0,,156.911322801,0.0285734822532,,True,-7.159396892423615,-5.703669576829005,monthly,2025-04,,
Load,DLinear,4464,172.34001019019487,4401.677752688172,0,,219.99239061796965,0.0391532547072407,,True,B2,4464,160.478890726,4401.67775269,0,,208.959762264,0.0364585732401,,True,-11.861119464194871,-7.391077674163653,monthly,2025-05,,
Load,DLinear,4320,232.90231370856944,4800.372629444444,0,,288.9620359885741,0.04851754888360066,,True,B2,4320,210.343720069,4800.37262944,0,,287.128129396,0.0438182066907,,True,-22.558593639569438,-10.724633771889856,monthly,2025-06,,
Load,DLinear,4464,244.80742221423833,5337.258656070789,0,,307.13191252406085,0.04586763317827695,,True,B2,4464,288.268041286,5337.25865607,0,,383.711442411,0.0540105061159,,True,43.4606190717617,15.07646108735412,monthly,2025-07,,
Load,DLinear,4464,211.78923925297937,5045.177050336021,0,,264.6699452735369,0.04197855439758525,,True,B2,4464,183.778354503,5045.17705034,0,,231.552029987,0.0364265421548,,True,-28.01088474997937,-15.241666966564399,monthly,2025-08,,
Load,DLinear,4320,214.12262732904628,4535.910432824075,0,,274.76185672457314,0.04720609687959221,,True,B2,4320,241.896897361,4535.91043282,0,,346.410293795,0.0533292931912,,True,27.774270031953705,11.481862865940021,monthly,2025-09,,
Load,DLinear,4464,174.24105524894938,4347.019491330645,0,,218.85768794351205,0.04008287876243529,,True,B2,4464,137.434468772,4347.01949133,0,,182.866686671,0.0316157930845,,True,-36.80658647694938,-26.781190196187605,monthly,2025-10,,
Load,DLinear,4320,150.5295533,4337.671346689815,0,,187.1183825917941,0.03470284889491981,,True,B2,4320,125.794936019,4337.67134669,0,,156.579955889,0.0290005687302,,True,-24.734617281,-19.662649438657926,monthly,2025-11,,
Load,DLinear,4464,169.9253917898432,4691.305896191756,0,,221.93264169702687,0.036221341253356104,,True,B2,4464,180.512255914,4691.30589619,0,,241.147296273,0.0384780399975,,True,10.586864124156818,5.86490045817201,monthly,2025-12,,
PV,DLinear,4032,153.45996903958232,1966.4803466517858,2036,246.43688184620876,245.23055339402848,0.07803788596253701,153.45996903958232,True,B3,4032,116.568321475,1966.48034665,2036,230.82264553,231.344148536,0.0592776437726,116.568321475,True,-36.891647564582314,-31.648090233927178,monthly,2025-02,,
PV,DLinear,4464,173.49027754600382,2304.1967555331544,2426,287.74507444651715,307.3621507533854,0.07529316979090223,173.49027754600382,True,B3,4464,161.254481423,2304.19675553,2426,296.694896973,310.605666521,0.0699829478692,161.254481423,True,-12.235796123003837,-7.587879738304517,monthly,2025-03,,
PV,DLinear,4320,247.85113773824295,2701.6856893287036,2526,362.8371668787901,396.7078432649893,0.09173944205176114,247.85113773824295,True,B3,4320,172.68998585,2701.68568933,2526,295.320826835,330.949653785,0.0639193472919,172.68998585,True,-75.16115188824296,-43.52374662508142,monthly,2025-04,,
PV,DLinear,4464,253.4513119514216,2806.502396550179,2747,338.2314821177678,370.7831298451845,0.09030860342858431,253.4513119514216,True,B3,4464,179.591938377,2806.50239655,2747,291.837873025,330.510268598,0.0639913718219,179.591938377,True,-73.8593735744216,-41.12621882802765,monthly,2025-05,,
PV,DLinear,4320,229.50043328347687,2369.8265653009257,2765,331.1119158239736,401.7840615808467,0.09684271273004925,229.50043328347687,True,B3,4320,207.311315235,2369.8265653,2765,323.900498998,399.402538106,0.0874795304729,207.311315235,True,-22.18911804847687,-10.703283621216794,monthly,2025-06,,
PV,DLinear,4464,225.4945081876704,2723.254275,2784,332.06695938185584,371.05544218620753,0.0828033247786494,225.4945081876704,True,B3,4464,181.134195974,2723.254275,2784,290.393556881,340.392289022,0.0665138755631,181.134195974,True,-44.3603122136704,-24.490302328135698,monthly,2025-07,,
PV,DLinear,4464,224.2561989939095,2915.9930929883512,2668,335.39142086681795,359.7617588450633,0.07690560019951506,224.2561989939095,True,B3,4464,189.730214734,2915.99309299,2668,317.291726119,355.311148958,0.0650653855079,189.730214734,True,-34.52598425990951,-18.197409573543474,monthly,2025-08,,
PV,DLinear,4320,211.61553368833899,2607.5995060879627,2415,315.93619727061815,330.3759543175518,0.0811533877017081,211.61553368833899,True,B3,4320,154.829997414,2607.59950609,2415,276.669410772,294.766447096,0.0593764483589,154.829997414,True,-56.785536274338995,-36.676055817853,monthly,2025-09,,
PV,DLinear,4464,192.97879202079275,2364.313051769713,2321,307.63170574839086,307.4214390568124,0.08162150603379112,192.97879202079275,True,B3,4464,144.342851494,2364.31305177,2321,277.320906881,294.0295189,0.0610506512183,144.342851494,True,-48.63594052679275,-33.69473446270003,monthly,2025-10,,
PV,DLinear,4320,190.4991682243498,1854.376335601852,2095,281.87962625537466,254.28865931240955,0.102729507795688,190.4991682243498,True,B3,4320,101.670740043,1854.3763356,2095,209.529218848,207.072834967,0.0548274576692,101.670740043,True,-88.8284281813498,-87.36872392566559,monthly,2025-11,,
