series,model,target_group,target_date,history_days,status,reason
Load,B0,spring,2025-03-20,7,completed,
Load,B1,spring,2025-03-20,7,completed,
Load,B2,spring,2025-03-20,7,completed,
Load,B3,spring,2025-03-20,7,completed,
Load,B4,spring,2025-03-20,7,completed,
Load,DLinear,spring,2025-03-20,7,skipped,insufficient_points_for_context_plus_target
Load,B0,spring,2025-03-20,14,completed,
Load,B1,spring,2025-03-20,14,completed,
Load,B2,spring,2025-03-20,14,completed,
Load,B3,spring,2025-03-20,14,completed,
Load,B4,spring,2025-03-20,14,completed,
Load,DLinear,spring,2025-03-20,14,completed,
Load,B0,spring,2025-03-20,30,completed,
Load,B1,spring,2025-03-20,30,completed,
Load,B2,spring,2025-03-20,30,completed,
Load,B3,spring,2025-03-20,30,completed,
Load,B4,spring,2025-03-20,30,completed,
Load,DLinear,spring,2025-03-20,30,completed,
Load,B0,spring,2025-03-20,60,completed,
Load,B1,spring,2025-03-20,60,completed,
Load,B2,spring,2025-03-20,60,completed,
Load,B3,spring,2025-03-20,60,completed,
Load,B4,spring,2025-03-20,60,completed,
Load,DLinear,spring,2025-03-20,60,completed,
Load,B0,spring,2025-03-20,90,skipped,insufficient_available_history
Load,B1,spring,2025-03-20,90,skipped,insufficient_available_history
Load,B2,spring,2025-03-20,90,skipped,insufficient_available_history
Load,B3,spring,2025-03-20,90,skipped,insufficient_available_history
Load,B4,spring,2025-03-20,90,skipped,insufficient_available_history
Load,DLinear,spring,2025-03-20,90,skipped,insufficient_available_history
Load,B0,spring,2025-03-20,180,skipped,insufficient_available_history
Load,B1,spring,2025-03-20,180,skipped,insufficient_available_history
Load,B2,spring,2025-03-20,180,skipped,insufficient_available_history
Load,B3,spring,2025-03-20,180,skipped,insufficient_available_history
Load,B4,spring,2025-03-20,180,skipped,insufficient_available_history
Load,DLinear,spring,2025-03-20,180,skipped,insufficient_available_history
PV,B0,spring,2025-03-20,7,completed,
PV,B1,spring,2025-03-20,7,completed,
PV,B2,spring,2025-03-20,7,completed,
PV,B3,spring,2025-03-20,7,completed,
PV,B4,spring,2025-03-20,7,completed,
PV,DLinear,spring,2025-03-20,7,completed,
PV,B0,spring,2025-03-20,14,completed,
PV,B1,spring,2025-03-20,14,completed,
PV,B2,spring,2025-03-20,14,completed,
PV,B3,spring,2025-03-20,14,completed,
PV,B4,spring,2025-03-20,14,completed,
PV,DLinear,spring,2025-03-20,14,completed,
PV,B0,spring,2025-03-20,30,completed,
PV,B1,spring,2025-03-20,30,completed,
PV,B2,spring,2025-03-20,30,completed,
PV,B3,spring,2025-03-20,30,completed,
PV,B4,spring,2025-03-20,30,completed,
PV,DLinear,spring,2025-03-20,30,completed,
PV,B0,spring,2025-03-20,60,completed,
PV,B1,spring,2025-03-20,60,completed,
PV,B2,spring,2025-03-20,60,completed,
PV,B3,spring,2025-03-20,60,completed,
PV,B4,spring,2025-03-20,60,completed,
PV,DLinear,spring,2025-03-20,60,completed,
PV,B0,spring,2025-03-20,90,skipped,insufficient_available_history
PV,B1,spring,2025-03-20,90,skipped,insufficient_available_history
PV,B2,spring,2025-03-20,90,skipped,insufficient_available_history
PV,B3,spring,2025-03-20,90,skipped,insufficient_available_history
PV,B4,spring,2025-03-20,90,skipped,insufficient_available_history
PV,DLinear,spring,2025-03-20,90,skipped,insufficient_available_history
PV,B0,spring,2025-03-20,180,skipped,insufficient_available_history
PV,B1,spring,2025-03-20,180,skipped,insufficient_available_history
PV,B2,spring,2025-03-20,180,skipped,insufficient_available_history
PV,B3,spring,2025-03-20,180,skipped,insufficient_available_history
PV,B4,spring,2025-03-20,180,skipped,insufficient_available_history
PV,DLinear,spring,2025-03-20,180,skipped,insufficient_available_history
Load,B0,summer,2025-06-21,7,completed,
Load,B1,summer,2025-06-21,7,completed,
Load,B2,summer,2025-06-21,7,completed,
Load,B3,summer,2025-06-21,7,completed,
Load,B4,summer,2025-06-21,7,completed,
Load,DLinear,summer,2025-06-21,7,skipped,insufficient_points_for_context_plus_target
Load,B0,summer,2025-06-21,14,completed,
Load,B1,summer,2025-06-21,14,completed,
Load,B2,summer,2025-06-21,14,completed,
Load,B3,summer,2025-06-21,14,completed,
Load,B4,summer,2025-06-21,14,completed,
Load,DLinear,summer,2025-06-21,14,completed,
Load,B0,summer,2025-06-21,30,completed,
Load,B1,summer,2025-06-21,30,completed,
Load,B2,summer,2025-06-21,30,completed,
Load,B3,summer,2025-06-21,30,completed,
Load,B4,summer,2025-06-21,30,completed,
Load,DLinear,summer,2025-06-21,30,completed,
Load,B0,summer,2025-06-21,60,completed,
Load,B1,summer,2025-06-21,60,completed,
Load,B2,summer,2025-06-21,60,completed,
Load,B3,summer,2025-06-21,60,completed,
Load,B4,summer,2025-06-21,60,completed,
Load,DLinear,summer,2025-06-21,60,completed,
Load,B0,summer,2025-06-21,90,completed,
Load,B1,summer,2025-06-21,90,completed,
Load,B2,summer,2025-06-21,90,completed,
Load,B3,summer,2025-06-21,90,completed,
Load,B4,summer,2025-06-21,90,completed,
Load,DLinear,summer,2025-06-21,90,completed,
Load,B0,summer,2025-06-21,180,skipped,insufficient_available_history
Load,B1,summer,2025-06-21,180,skipped,insufficient_available_history
Load,B2,summer,2025-06-21,180,skipped,insufficient_available_history
Load,B3,summer,2025-06-21,180,skipped,insufficient_available_history
Load,B4,summer,2025-06-21,180,skipped,insufficient_available_history
Load,DLinear,summer,2025-06-21,180,skipped,insufficient_available_history
PV,B0,summer,2025-06-21,7,completed,
PV,B1,summer,2025-06-21,7,completed,
PV,B2,summer,2025-06-21,7,completed,
PV,B3,summer,2025-06-21,7,completed,
PV,B4,summer,2025-06-21,7,completed,
PV,DLinear,summer,2025-06-21,7,completed,
PV,B0,summer,2025-06-21,14,completed,
PV,B1,summer,2025-06-21,14,completed,
PV,B2,summer,2025-06-21,14,completed,
PV,B3,summer,2025-06-21,14,completed,
PV,B4,summer,2025-06-21,14,completed,
PV,DLinear,summer,2025-06-21,14,completed,
PV,B0,summer,2025-06-21,30,completed,
PV,B1,summer,2025-06-21,30,completed,
PV,B2,summer,2025-06-21,30,completed,
PV,B3,summer,2025-06-21,30,completed,
PV,B4,summer,2025-06-21,30,completed,
PV,DLinear,summer,2025-06-21,30,completed,
PV,B0,summer,2025-06-21,60,completed,
PV,B1,summer,2025-06-21,60,completed,
PV,B2,summer,2025-06-21,60,completed,
PV,B3,summer,2025-06-21,60,completed,
PV,B4,summer,2025-06-21,60,completed,
PV,DLinear,summer,2025-06-21,60,completed,
PV,B0,summer,2025-06-21,90,completed,
PV,B1,summer,2025-06-21,90,completed,
PV,B2,summer,2025-06-21,90,completed,
PV,B3,summer,2025-06-21,90,completed,
PV,B4,summer,2025-06-21,90,completed,
PV,DLinear,summer,2025-06-21,90,completed,
PV,B0,summer,2025-06-21,180,skipped,insufficient_available_history
PV,B1,summer,2025-06-21,180,skipped,insufficient_available_history
PV,B2,summer,2025-06-21,180,skipped,insufficient_available_history
PV,B3,summer,2025-06-21,180,skipped,insufficient_available_history
PV,B4,summer,2025-06-21,180,skipped,insufficient_available_history
PV,DLinear,summer,2025-06-21,180,skipped,insufficient_available_history
Load,B0,autumn,2025-09-23,7,completed,
Load,B1,autumn,2025-09-23,7,completed,
Load,B2,autumn,2025-09-23,7,completed,
Load,B3,autumn,2025-09-23,7,completed,
Load,B4,autumn,2025-09-23,7,completed,
Load,DLinear,autumn,2025-09-23,7,skipped,insufficient_points_for_context_plus_target
Load,B0,autumn,2025-09-23,14,completed,
Load,B1,autumn,2025-09-23,14,completed,
Load,B2,autumn,2025-09-23,14,completed,
Load,B3,autumn,2025-09-23,14,completed,
Load,B4,autumn,2025-09-23,14,completed,
Load,DLinear,autumn,2025-09-23,14,completed,
Load,B0,autumn,2025-09-23,30,completed,
Load,B1,autumn,2025-09-23,30,completed,
Load,B2,autumn,2025-09-23,30,completed,
Load,B3,autumn,2025-09-23,30,completed,
Load,B4,autumn,2025-09-23,30,completed,
Load,DLinear,autumn,2025-09-23,30,completed,
Load,B0,autumn,2025-09-23,60,completed,
Load,B1,autumn,2025-09-23,60,completed,
Load,B2,autumn,2025-09-23,60,completed,
Load,B3,autumn,2025-09-23,60,completed,
Load,B4,autumn,2025-09-23,60,completed,
Load,DLinear,autumn,2025-09-23,60,completed,
Load,B0,autumn,2025-09-23,90,completed,
Load,B1,autumn,2025-09-23,90,completed,
Load,B2,autumn,2025-09-23,90,completed,
Load,B3,autumn,2025-09-23,90,completed,
Load,B4,autumn,2025-09-23,90,completed,
Load,DLinear,autumn,2025-09-23,90,completed,
Load,B0,autumn,2025-09-23,180,completed,
Load,B1,autumn,2025-09-23,180,completed,
Load,B2,autumn,2025-09-23,180,completed,
Load,B3,autumn,2025-09-23,180,completed,
Load,B4,autumn,2025-09-23,180,completed,
Load,DLinear,autumn,2025-09-23,180,completed,
PV,B0,autumn,2025-09-23,7,completed,
PV,B1,autumn,2025-09-23,7,completed,
PV,B2,autumn,2025-09-23,7,completed,
PV,B3,autumn,2025-09-23,7,completed,
PV,B4,autumn,2025-09-23,7,completed,
PV,DLinear,autumn,2025-09-23,7,completed,
PV,B0,autumn,2025-09-23,14,completed,
