series,model,month,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,DLinear,2025-02,4032,172.68449112925097,4516.8965253224205,0,,218.553954642443,0.03823078305229155,,True
Load,DLinear,2025-03,4464,135.70316004975805,4355.698995407706,0,,170.27318856728948,0.031155311740511088,,True
Load,DLinear,2025-04,4320,132.68204149842362,4392.976799050925,0,,166.8592101127948,0.030203219267419923,,True
Load,DLinear,2025-05,4464,172.34001019019487,4401.677752688172,0,,219.99239061796965,0.0391532547072407,,True
Load,DLinear,2025-06,4320,232.90231370856944,4800.372629444444,0,,288.9620359885741,0.04851754888360066,,True
Load,DLinear,2025-07,4464,244.80742221423833,5337.258656070789,0,,307.13191252406085,0.04586763317827695,,True
Load,DLinear,2025-08,4464,211.78923925297937,5045.177050336021,0,,264.6699452735369,0.04197855439758525,,True
Load,DLinear,2025-09,4320,214.12262732904628,4535.910432824075,0,,274.76185672457314,0.04720609687959221,,True
Load,DLinear,2025-10,4464,174.24105524894938,4347.019491330645,0,,218.85768794351205,0.04008287876243529,,True
Load,DLinear,2025-11,4320,150.5295533,4337.671346689815,0,,187.1183825917941,0.03470284889491981,,True
Load,DLinear,2025-12,4464,169.9253917898432,4691.305896191756,0,,221.93264169702687,0.036221341253356104,,True
PV,DLinear,2025-02,4032,153.45996903958232,1966.4803466517858,2036,246.43688184620876,245.23055339402848,0.07803788596253701,153.45996903958232,True
PV,DLinear,2025-03,4464,173.49027754600382,2304.1967555331544,2426,287.74507444651715,307.3621507533854,0.07529316979090223,173.49027754600382,True
PV,DLinear,2025-04,4320,247.85113773824295,2701.6856893287036,2526,362.8371668787901,396.7078432649893,0.09173944205176114,247.85113773824295,True
PV,DLinear,2025-05,4464,253.4513119514216,2806.502396550179,2747,338.2314821177678,370.7831298451845,0.09030860342858431,253.4513119514216,True
PV,DLinear,2025-06,4320,229.50043328347687,2369.8265653009257,2765,331.1119158239736,401.7840615808467,0.09684271273004925,229.50043328347687,True
PV,DLinear,2025-07,4464,225.4945081876704,2723.254275,2784,332.06695938185584,371.05544218620753,0.0828033247786494,225.4945081876704,True
PV,DLinear,2025-08,4464,224.2561989939095,2915.9930929883512,2668,335.39142086681795,359.7617588450633,0.07690560019951506,224.2561989939095,True
PV,DLinear,2025-09,4320,211.61553368833899,2607.5995060879627,2415,315.93619727061815,330.3759543175518,0.0811533877017081,211.61553368833899,True
PV,DLinear,2025-10,4464,192.97879202079275,2364.313051769713,2321,307.63170574839086,307.4214390568124,0.08162150603379112,192.97879202079275,True
PV,DLinear,2025-11,4320,190.4991682243498,1854.376335601852,2095,281.87962625537466,254.28865931240955,0.102729507795688,190.4991682243498,True
PV,DLinear,2025-12,4464,113.66895004860054,1513.8368958781361,2097,193.51626841342997,187.87615629921495,0.07508665587296591,113.66895004860054,True
