series,model,target_group,target_date,history_days,status,reason,n,MAE,mean_abs_actual_kw,daylight_n,daylight_mae_kw,RMSE,nMAE,all_day_mae_kw,nmae_defined
Load,B0,spring,2025-03-20,7,completed,,144.0,1533.821748611111,4902.015905555556,0.0,,1948.4202393109424,0.3128961182832555,,True
Load,B1,spring,2025-03-20,7,completed,,144.0,127.49016944444445,4902.015905555556,0.0,,174.8290154129437,0.026007702116991747,,True
Load,B2,spring,2025-03-20,7,completed,,144.0,129.5548923611111,4902.015905555556,0.0,,157.66520132623742,0.026428900855724243,,True
Load,B3,spring,2025-03-20,7,completed,,144.0,547.6356717261906,4902.015905555556,0.0,,606.9294908644415,0.1117164208107819,,True
Load,B4,spring,2025-03-20,7,completed,,144.0,129.5548923611111,4902.015905555556,0.0,,157.66520132623742,0.026428900855724243,,True
Load,DLinear,spring,2025-03-20,7,skipped,insufficient_points_for_context_plus_target,,,,,,,,,
Load,B0,spring,2025-03-20,14,completed,,144.0,1533.821748611111,4902.015905555556,0.0,,1948.4202393109424,0.3128961182832555,,True
Load,B1,spring,2025-03-20,14,completed,,144.0,127.49016944444445,4902.015905555556,0.0,,174.8290154129437,0.026007702116991747,,True
Load,B2,spring,2025-03-20,14,completed,,144.0,129.5548923611111,4902.015905555556,0.0,,157.66520132623742,0.026428900855724243,,True
Load,B3,spring,2025-03-20,14,completed,,144.0,547.6356717261906,4902.015905555556,0.0,,606.9294908644415,0.1117164208107819,,True
Load,B4,spring,2025-03-20,14,completed,,144.0,114.94814305555558,4902.015905555556,0.0,,139.3838406363709,0.023449157503810315,,True
Load,DLinear,spring,2025-03-20,14,completed,,144.0,220.31089350650893,4902.015905555556,0.0,,273.1154036504171,0.04494291690421201,,True
Load,B0,spring,2025-03-20,30,completed,,144.0,1533.821748611111,4902.015905555556,0.0,,1948.4202393109424,0.3128961182832555,,True
Load,B1,spring,2025-03-20,30,completed,,144.0,127.49016944444445,4902.015905555556,0.0,,174.8290154129437,0.026007702116991747,,True
Load,B2,spring,2025-03-20,30,completed,,144.0,129.5548923611111,4902.015905555556,0.0,,157.66520132623742,0.026428900855724243,,True
Load,B3,spring,2025-03-20,30,completed,,144.0,547.6356717261906,4902.015905555556,0.0,,606.9294908644415,0.1117164208107819,,True
Load,B4,spring,2025-03-20,30,completed,,144.0,134.9520333333333,4902.015905555556,0.0,,166.1561263536057,0.02752990523355695,,True
Load,DLinear,spring,2025-03-20,30,completed,,144.0,167.91539493048043,4902.015905555556,0.0,,207.29020271469298,0.034254355384726196,,True
Load,B0,spring,2025-03-20,60,completed,,144.0,1533.821748611111,4902.015905555556,0.0,,1948.4202393109424,0.3128961182832555,,True
Load,B1,spring,2025-03-20,60,completed,,144.0,127.49016944444445,4902.015905555556,0.0,,174.8290154129437,0.026007702116991747,,True
Load,B2,spring,2025-03-20,60,completed,,144.0,129.5548923611111,4902.015905555556,0.0,,157.66520132623742,0.026428900855724243,,True
Load,B3,spring,2025-03-20,60,completed,,144.0,547.6356717261906,4902.015905555556,0.0,,606.9294908644415,0.1117164208107819,,True
Load,B4,spring,2025-03-20,60,completed,,144.0,200.93094157986104,4902.015905555556,0.0,,245.06315646256942,0.0409894511668438,,True
Load,DLinear,spring,2025-03-20,60,completed,,144.0,174.90535879802394,4902.015905555556,0.0,,220.50531088900914,0.03568029197942832,,True
Load,B0,spring,2025-03-20,90,skipped,insufficient_available_history,,,,,,,,,
Load,B1,spring,2025-03-20,90,skipped,insufficient_available_history,,,,,,,,,
Load,B2,spring,2025-03-20,90,skipped,insufficient_available_history,,,,,,,,,
Load,B3,spring,2025-03-20,90,skipped,insufficient_available_history,,,,,,,,,
Load,B4,spring,2025-03-20,90,skipped,insufficient_available_history,,,,,,,,,
Load,DLinear,spring,2025-03-20,90,skipped,insufficient_available_history,,,,,,,,,
Load,B0,spring,2025-03-20,180,skipped,insufficient_available_history,,,,,,,,,
Load,B1,spring,2025-03-20,180,skipped,insufficient_available_history,,,,,,,,,
Load,B2,spring,2025-03-20,180,skipped,insufficient_available_history,,,,,,,,,
Load,B3,spring,2025-03-20,180,skipped,insufficient_available_history,,,,,,,,,
Load,B4,spring,2025-03-20,180,skipped,insufficient_available_history,,,,,,,,,
Load,DLinear,spring,2025-03-20,180,skipped,insufficient_available_history,,,,,,,,,
PV,B0,spring,2025-03-20,7,completed,,144.0,2309.975829861111,2309.975829861111,79.0,4210.58885443038,3710.637315463801,1.0,2309.975829861111,True
PV,B1,spring,2025-03-20,7,completed,,144.0,160.6506111111111,2309.975829861111,79.0,292.83149367088606,306.31712646201566,0.06954644677852337,160.6506111111111,True
PV,B2,spring,2025-03-20,7,completed,,144.0,219.40773125,2309.975829861111,79.0,399.93307974683546,445.22302554718755,0.09498269566880796,219.40773125,True
PV,B3,spring,2025-03-20,7,completed,,144.0,82.01601547619046,2309.975829861111,79.0,149.49754719710666,145.24049843820904,0.035505140104051106,82.01601547619046,True
PV,B4,spring,2025-03-20,7,completed,,144.0,219.40773125,2309.975829861111,79.0,399.93307974683546,445.22302554718755,0.09498269566880796,219.40773125,True
PV,DLinear,spring,2025-03-20,7,completed,,144.0,296.1056057193113,2309.975829861111,79.0,369.95056165198025,366.7310306854026,0.12818558613971076,296.1056057193113,True
PV,B0,spring,2025-03-20,14,completed,,144.0,2309.975829861111,2309.975829861111,79.0,4210.58885443038,3710.637315463801,1.0,2309.975829861111,True
PV,B1,spring,2025-03-20,14,completed,,144.0,160.6506111111111,2309.975829861111,79.0,292.83149367088606,306.31712646201566,0.06954644677852337,160.6506111111111,True
PV,B2,spring,2025-03-20,14,completed,,144.0,219.40773125,2309.975829861111,79.0,399.93307974683546,445.22302554718755,0.09498269566880796,219.40773125,True
PV,B3,spring,2025-03-20,14,completed,,144.0,82.01601547619046,2309.975829861111,79.0,149.49754719710666,145.24049843820904,0.035505140104051106,82.01601547619046,True
PV,B4,spring,2025-03-20,14,completed,,144.0,179.4348260416667,2309.975829861111,79.0,327.00863797468355,314.75087233243295,0.07767822663861178,179.4348260416667,True
PV,DLinear,spring,2025-03-20,14,completed,,144.0,196.9303460625224,2309.975829861111,79.0,257.5097116430106,259.9811799073261,0.08525212407714369,196.9303460625224,True
PV,B0,spring,2025-03-20,30,completed,,144.0,2309.975829861111,2309.975829861111,79.0,4210.58885443038,3710.637315463801,1.0,2309.975829861111,True
PV,B1,spring,2025-03-20,30,completed,,144.0,160.6506111111111,2309.975829861111,79.0,292.83149367088606,306.31712646201566,0.06954644677852337,160.6506111111111,True
PV,B2,spring,2025-03-20,30,completed,,144.0,219.40773125,2309.975829861111,79.0,399.93307974683546,445.22302554718755,0.09498269566880796,219.40773125,True
PV,B3,spring,2025-03-20,30,completed,,144.0,82.01601547619046,2309.975829861111,79.0,149.49754719710666,145.24049843820904,0.035505140104051106,82.01601547619046,True
PV,B4,spring,2025-03-20,30,completed,,144.0,165.48161579861113,2309.975829861111,79.0,301.5969253164557,268.3375290031421,0.07163781268159886,165.48161579861113,True
PV,DLinear,spring,2025-03-20,30,completed,,144.0,252.6080373082515,2309.975829861111,79.0,306.6122219178773,314.6707657446094,0.1093552729179161,252.6080373082515,True
PV,B0,spring,2025-03-20,60,completed,,144.0,2309.975829861111,2309.975829861111,79.0,4210.58885443038,3710.637315463801,1.0,2309.975829861111,True
PV,B1,spring,2025-03-20,60,completed,,144.0,160.6506111111111,2309.975829861111,79.0,292.83149367088606,306.31712646201566,0.06954644677852337,160.6506111111111,True
PV,B2,spring,2025-03-20,60,completed,,144.0,219.40773125,2309.975829861111,79.0,399.93307974683546,445.22302554718755,0.09498269566880796,219.40773125,True
PV,B3,spring,2025-03-20,60,completed,,144.0,82.01601547619046,2309.975829861111,79.0,149.49754719710666,145.24049843820904,0.035505140104051106,82.01601547619046,True
PV,B4,spring,2025-03-20,60,completed,,144.0,345.41901171875,2309.975829861111,79.0,629.6026670886076,518.7112603620328,0.14953360431460386,345.41901171875,True
