series,model,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,B0,144,672.182085417,3179.38359514,0,,856.672610391,0.211418995319,,True
Load,B1,144,209.9798125,3179.38359514,0,,252.170415521,0.0660441894526,,True
Load,B2,144,209.452609722,3179.38359514,0,,248.571185451,0.0658783702736,,True
Load,B3,144,1529.12175546,3179.38359514,0,,1657.66108719,0.480949124162,,True
Load,B4,144,219.01362934,3179.38359514,0,,252.867361897,0.0688855631246,,True
PV,B0,144,1746.95959792,1746.95959792,71,3543.12932535,2995.17553559,1,1746.95959792,True
PV,B1,144,101.201390972,1746.95959792,71,205.253525352,195.14769055,0.057930012287,101.201390972,True
PV,B2,144,89.3480694444,1746.95959792,71,181.212985915,160.353036862,0.0511448974269,89.3480694444,True
PV,B3,144,63.8709540674,1746.95959792,71,129.54108994,119.764093341,0.0365612084811,63.8709540674,True
PV,B4,144,142.549473785,1746.95959792,71,289.060537324,242.52120976,0.0815986093523,142.549473785,True
