series,model,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,B0,48096,1240.26514447,4616.77638339,0,,1651.38294584,0.268643105378,,True
Load,B1,48096,650.020067515,4616.77638339,0,,1128.39123803,0.140795224532,,True
Load,B2,48096,176.795721172,4616.77638339,0,,244.286614995,0.0382941919839,,True
Load,B3,48096,781.211084265,4616.77638339,0,,955.924519919,0.169211375945,,True
Load,B4,48096,318.540370902,4616.77638339,0,,415.487555645,0.0689962745539,,True
PV,B0,48096,2378.8535422,2378.8535422,26880,4256.44865944,3826.0686915,1,2378.8535422,True
PV,B1,48096,185.346491527,2378.8535422,26880,331.6338316,375.174878137,0.077914208773,185.346491527,True
PV,B2,48096,214.688231379,2378.8535422,26880,383.910262853,419.94796823,0.0902486124389,214.688231379,True
PV,B3,48096,153.399706725,2378.8535422,26880,274.384169926,303.857739256,0.0644847208975,153.399706725,True
PV,B4,48096,492.630616163,2378.8535422,26880,856.494375723,787.310354656,0.207087408882,492.630616163,True
