series,model,history_size_group,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,B0,31-60 days,4320,1403.6063147,4479.80422535,0,,1843.38087713,0.313318672891,,True
Load,B0,61-120 days,8640,1274.99380818,4398.50232957,0,,1705.5995689,0.289869985884,,True
Load,B0,121-240 days,17280,1131.51005829,4900.31030397,0,,1494.72561705,0.230905797408,,True
Load,B0,>240 days,17856,1289.18978488,4481.1436213,0,,1718.6115367,0.28769213706,,True
Load,B1,31-60 days,4320,665.855608519,4479.80422535,0,,1151.45831885,0.148634979348,,True
Load,B1,61-120 days,8640,600.219731597,4398.50232957,0,,1086.74414251,0.136460023577,,True
Load,B1,121-240 days,17280,682.716535775,4900.31030397,0,,1149.9830797,0.139321082427,,True
Load,B1,>240 days,17856,638.644081496,4481.1436213,0,,1121.41658268,0.142518101509,,True
Load,B2,31-60 days,4320,150.157177731,4479.80422535,0,,190.224738906,0.033518691929,,True
Load,B2,61-120 days,8640,132.463719294,4398.50232957,0,,168.192760893,0.0301156414999,,True
Load,B2,121-240 days,17280,211.241990029,4900.31030397,0,,286.824487926,0.0431078803026,,True
Load,B2,>240 days,17856,171.356399826,4481.1436213,0,,242.245562164,0.0382394349094,,True
Load,B3,31-60 days,4320,777.948334094,4479.80422535,0,,967.44320266,0.173656770466,,True
Load,B3,61-120 days,8640,760.347764315,4398.50232957,0,,928.430845859,0.17286514985,,True
Load,B3,121-240 days,17280,798.3903467,4900.31030397,0,,970.670050668,0.162926487748,,True
Load,B3,>240 days,17856,775.470521441,4481.1436213,0,,951.844395506,0.17305192312,,True
Load,B4,31-60 days,4320,189.940158214,4479.80422535,0,,227.677623322,0.0423992095768,,True
Load,B4,61-120 days,8640,213.597573549,4398.50232957,0,,263.315360469,0.0485614324024,,True
Load,B4,121-240 days,17280,449.450673421,4900.31030397,0,,573.929966251,0.0917188189198,,True
Load,B4,>240 days,17856,273.744708964,4481.1436213,0,,316.427960045,0.0610881355516,,True
PV,B0,31-60 days,4320,1966.05874609,1966.05874609,2186,3885.34939758,3298.29785056,1,1966.05874609,True
PV,B0,61-120 days,8640,2524.16790508,2524.16790508,4889,4460.79171608,4006.11194443,1,2524.16790508,True
PV,B0,121-240 days,17280,2702.54466744,2702.54466744,10711,4360.00110665,4121.12632986,1,2702.54466744,True
PV,B0,>240 days,17856,2095.16037351,2095.16037351,9094,4113.83149653,3549.21486309,1,2095.16037351,True
PV,B1,31-60 days,4320,137.867637894,1966.05874609,2186,272.454556679,289.988364446,0.0701238648987,137.867637894,True
PV,B1,61-120 days,8640,205.205996481,2524.16790508,4889,362.645425609,409.059468273,0.0812964922295,205.205996481,True
PV,B1,121-240 days,17280,230.534506117,2702.54466744,10711,371.917176277,435.836374249,0.0853027551754,230.534506117,True
PV,B1,>240 days,17856,143.493536374,2095.16037351,9094,281.741078909,306.588793025,0.0684880919802,143.493536374,True
PV,B2,31-60 days,4320,161.046528704,1966.05874609,2186,318.210298719,316.262356714,0.0819133858661,161.046528704,True
PV,B2,61-120 days,8640,217.207978044,2524.16790508,4889,383.814042565,410.876005459,0.0860513191721,217.207978044,True
PV,B2,121-240 days,17280,270.713520897,2702.54466744,10711,436.611275455,507.573358015,0.100169859969,270.713520897,True
PV,B2,>240 days,17856,172.2288083,2095.16037351,9094,337.683079723,346.148338504,0.0822031623341,172.2288083,True
PV,B3,31-60 days,4320,123.914249263,1966.05874609,2186,244.858199784,254.837762662,0.0630267277156,123.914249263,True
PV,B3,61-120 days,8640,164.329290346,2524.16790508,4889,290.387389785,313.066432106,0.0651023610651,164.329290346,True
PV,B3,121-240 days,17280,190.099873056,2702.54466744,10711,306.634381524,358.266114792,0.0703410660871,190.099873056,True
PV,B3,>240 days,17856,119.728486942,2095.16037351,9094,234.893518112,247.676370714,0.0571452612679,119.728486942,True
PV,B4,31-60 days,4320,316.788661607,1966.05874609,2186,626.007039073,541.609693996,0.161128787345,316.788661607,True
PV,B4,61-120 days,8640,591.706726334,2524.16790508,4889,1045.66897299,908.999188817,0.234416547783,591.706726334,True
PV,B4,121-240 days,17280,475.113150171,2702.54466744,10711,765.836652092,735.358751464,0.175802145251,475.113150171,True
PV,B4,>240 days,17856,504.185357659,2095.16037351,9094,916.974427374,821.903445988,0.240642847217,504.185357659,True
