series,model,horizon_step,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,B0,1,334,120.231942515,3449.16017665,0,,153.931075566,0.0348583238694,,True
Load,B0,2,334,159.936918263,3444.09948533,0,,207.609489106,0.0464379495844,,True
Load,B0,3,334,153.793712575,3447.99326347,0,,199.743413312,0.044603832091,,True
Load,B0,4,334,141.645407485,3459.90922066,0,,180.281148267,0.0409390531518,,True
Load,B0,5,334,155.789108683,3463.78178772,0,,193.710471756,0.0449765944364,,True
Load,B0,6,334,167.725299401,3458.99179641,0,,211.676939084,0.0484896493757,,True
Load,B0,7,334,166.626522754,3459.08269401,0,,212.159133366,0.0481707254478,,True
Load,B0,8,334,175.334927246,3458.26008772,0,,221.515119485,0.0507003298763,,True
Load,B0,9,334,190.921287425,3460.12413174,0,,240.03707952,0.0551775832763,,True
Load,B0,10,334,187.587632335,3475.34069281,0,,234.918393961,0.0539767605297,,True
Load,B0,11,334,194.38146497,3485.9928991,0,,244.669235474,0.0557607174186,,True
Load,B0,12,334,216.293443114,3487.61311377,0,,266.574339942,0.0620176137828,,True
Load,B0,13,334,211.979457485,3492.63351018,0,,262.589137482,0.0606933011629,,True
Load,B0,14,334,222.240047006,3498.20960569,0,,270.140573288,0.0635296543251,,True
Load,B0,15,334,237.198532934,3500.60299401,0,,288.768134502,0.0677593355602,,True
Load,B0,16,334,244.062134731,3499.66061317,0,,298.551135475,0.0697388009031,,True
Load,B0,17,334,256.534528144,3497.06081257,0,,309.03749267,0.073357182472,,True
Load,B0,18,334,262.560479042,3497.25799401,0,,324.029262109,0.0750760966138,,True
Load,B0,19,334,260.153857784,3504.38746198,0,,315.987326673,0.0742366135615,,True
Load,B0,20,334,267.006329641,3512.12491228,0,,327.539421817,0.0760241552649,,True
Load,B0,21,334,288.333203593,3516.69251497,0,,351.236438902,0.0819898817896,,True
Load,B0,22,334,296.350073054,3519.74112994,0,,361.085445027,0.0841965536991,,True
Load,B0,23,334,307.127763174,3523.71643563,0,,366.830385147,0.0871601812417,,True
Load,B0,24,334,326.103113772,3527.31517964,0,,387.608785138,0.09245080101,,True
Load,B0,25,334,324.073730838,3526.90938054,0,,390.791216763,0.0918860384184,,True
Load,B0,26,334,321.256271557,3525.31190569,0,,390.892887643,0.0911284675374,,True
Load,B0,27,334,330.762125749,3531.02047904,0,,396.821852102,0.093673239142,,True
Load,B0,28,334,345.401805389,3548.67437006,0,,408.083080795,0.0973326288553,,True
Load,B0,29,334,357.898175749,3552.5327482,0,,421.338185824,0.100744511343,,True
Load,B0,30,334,364.263323353,3536.09215569,0,,432.562390659,0.103012961008,,True
Load,B0,31,334,369.168842216,3523.64814042,0,,440.055950078,0.104768929105,,True
Load,B0,32,334,373.180377545,3550.15700988,0,,442.565488609,0.105116584001,,True
Load,B0,33,334,369.435988024,3538.5447006,0,,438.994411522,0.104403368979,,True
Load,B0,34,334,362.222957784,3445.69849431,0,,444.515789019,0.105123230713,,True
