metric_scope,baseline_model,target_dataset,target_metric,unit,decision_minute,horizon_bucket,issue_count,n,mae,rmse,wape_pct,smape_pct,bias,mean_pinball_loss,q10_q90_coverage_pct,q10_q90_mean_width
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,0,0-6h,334,12024,323.84364472,448.78913810,9.17532306,9.45660512,77.51735573,128.85883286,80.30605456,983.76269409
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,0,6-12h,334,12024,844.29148861,1183.40193806,15.66922596,17.10452352,166.42293474,348.51364510,67.96407186,1598.27247257
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,0,12-18h,334,12024,914.47069170,1330.24678633,16.40943672,18.26569045,216.12572486,381.68826999,71.88955422,1817.14946901
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,0,18-24h,334,12024,594.48307890,760.66138576,14.94971868,15.67735609,-17.98790332,236.89262429,76.98769128,1711.45049775
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,360,0-6h,334,12024,355.64284415,520.57687161,6.60038406,7.12598880,-3.33436796,139.41976942,87.36693280,1374.89618970
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,360,6-12h,334,12024,565.25210361,892.42468408,10.14299169,11.42809367,54.66295990,224.78885833,80.88822355,1692.78484159
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,360,12-18h,334,12024,406.27612942,515.07593694,10.21679852,10.86894614,21.57390030,161.93945528,89.87025948,1792.03168224
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,360,18-24h,333,11988,429.37446938,587.29898911,12.15824342,12.49529336,130.26188146,189.24060664,81.84017351,1793.74253807
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,720,0-6h,334,12024,246.45862190,374.97138037,4.42250058,5.03595210,40.82089072,99.34300124,88.77245509,1005.23679643
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,720,6-12h,334,12024,295.05913355,367.91553847,7.41997745,8.01774485,39.85080511,119.01751203,93.03060546,1410.14018600
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,720,12-18h,333,11988,382.20908882,533.00352610,10.82270016,11.17735828,78.47340306,169.43987634,80.77243911,1582.21352863
all_revision_forecasts_pooled,TiRex_historical_only,A2_LOAD,load_kw,kW,720,18-24h,333,11988,920.09762738,1322.39919549,17.06128475,18.69153530,122.54514707,378.90127016,71.74674675,1984.20161501
