metric_scope,baseline_model,target_dataset,target_metric,unit,decision_minute,lead_bucket,issue_count,n,mae,rmse,wape_pct,smape_pct,bias
all_hourly_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,0,1-6h,334,2004,23.32456393,68.94247028,32.93440218,71.46972838,-5.79143317
all_hourly_revision_forecasts_pooled,Official_Attachment3,A2_PV_ACTUAL,pv_actual_kw,kW,0,1-6h,334,2004,3.03463882,13.85094628,4.28492536,0.42768422,-0.42994481
all_hourly_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,0,7-12h,334,2004,385.64093910,510.25572449,7.23409984,11.49317393,-114.29343773
all_hourly_revision_forecasts_pooled,Official_Attachment3,A2_PV_ACTUAL,pv_actual_kw,kW,0,7-12h,334,2004,361.53583298,509.70926467,6.78192082,6.49244729,-47.45098209
all_hourly_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,0,13-18h,334,2004,358.38150396,475.98995996,8.72027239,32.36257675,-222.59229992
all_hourly_revision_forecasts_pooled,Official_Attachment3,A2_PV_ACTUAL,pv_actual_kw,kW,0,13-18h,334,2004,382.36201622,560.01030733,9.30377516,9.31928110,-66.90696103
all_hourly_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,0,19-24h,334,2004,9.99441863,14.44089363,19929.16909593,131.00204999,9.99441863
all_hourly_revision_forecasts_pooled,Official_Attachment3,A2_PV_ACTUAL,pv_actual_kw,kW,0,19-24h,334,2004,0.00619591,0.07430200,12.35482587,0.14659377,-0.00216088
all_hourly_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,360,1-6h,334,2004,365.21435289,490.85610693,6.85092485,10.04977395,-107.36193876
all_hourly_revision_forecasts_pooled,Official_Attachment3,A2_PV_ACTUAL,pv_actual_kw,kW,360,1-6h,334,2004,156.60133792,244.42521888,2.93762824,2.47331207,-7.41068992
