metric_scope,baseline_model,target_dataset,target_metric,unit,decision_minute,horizon_bucket,issue_count,n,mae,rmse,wape_pct,smape_pct,bias,mean_pinball_loss,q10_q90_coverage_pct,q10_q90_mean_width
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,0,0-6h,334,12024,346.12090154,427.77588463,9.80649502,10.21209712,25.34601881,150.02116916,21.44876913,332.99203380
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,0,6-12h,334,12024,980.62077647,1151.45326119,18.19936448,19.46925860,38.54445859,457.55124052,1.23087159,445.27667794
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,0,12-18h,334,12024,1064.75401063,1234.48179807,19.10614930,20.78313978,12.81227127,497.25494827,1.39720559,479.33369960
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,0,18-24h,334,12024,536.01991492,672.15581925,13.47952065,14.20113933,60.64703943,231.01137420,23.67764471,547.83388706
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,360,0-6h,334,12024,826.21602480,972.27240385,15.33376300,16.54870053,14.51557116,388.95529990,0.93147039,317.63135378
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,360,6-12h,334,12024,960.79967881,1126.81433716,17.24077292,18.88425725,25.12026045,450.70861577,1.37225549,408.28437830
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,360,12-18h,334,12024,472.29408470,600.14289922,11.87698011,12.50538016,56.81615088,205.43426950,23.12874251,515.03845287
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,360,18-24h,333,11988,417.03212939,531.85513257,11.80875553,12.23640001,78.30954836,175.58935196,39.71471471,584.31971582
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,720,0-6h,334,12024,786.36063921,928.01976048,14.11060548,15.76062618,44.36333114,371.13636703,1.53027279,308.34532758
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,720,6-12h,334,12024,374.98747379,494.41427328,9.42996940,10.05561599,73.11400206,155.92022445,32.69294744,494.46560311
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,720,12-18h,333,11988,425.97759499,542.13324228,12.06205692,12.56824799,52.55425244,173.08257810,41.83350017,611.06799165
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,720,18-24h,333,11988,1016.18464855,1199.85657346,18.84301745,20.16592204,34.42044560,462.22049359,2.59426093,617.79980501
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,1080,0-6h,334,12024,370.56269663,478.07249281,9.31869765,10.01026682,78.56193451,162.44098622,24.98336660,353.47886440
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,1080,6-12h,333,11988,392.14126368,512.58335194,11.10394138,11.57775330,59.79999001,163.31808295,42.10877544,493.28600435
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,1080,12-18h,333,11988,997.55497247,1179.60689929,18.49756910,19.83681315,15.18227905,460.25006361,2.48581915,535.54609072
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_LOAD,load_kw,kW,1080,18-24h,333,11988,1062.90005244,1243.53652136,19.05062074,20.75427472,11.74494961,492.82082794,1.77677678,545.71882711
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,0,0-6h,334,12024,4.08143877,18.68228219,13.01492720,94.92185586,0.01496829,2.02204645,96.13273453,29.45707926
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,0,6-12h,334,12024,318.20438162,447.60134242,6.58151309,11.51036887,9.23483857,140.61641712,34.78043912,321.75973992
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,0,12-18h,334,12024,295.33637894,424.87335684,6.37907418,14.41934019,25.61424835,126.29106507,43.61277445,396.29427156
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,0,18-24h,334,12024,3.29538454,13.76133685,16.93002427,111.41331234,0.74529720,1.78735048,95.36759814,36.79199625
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,360,0-6h,334,12024,314.99615632,446.02044738,6.51515644,11.75519735,7.90283124,140.86551937,26.34730539,273.34747222
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,360,6-12h,334,12024,296.88588024,427.99331287,6.41254240,13.29142141,31.78898830,127.43050973,40.51896208,380.47941724
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,360,12-18h,334,12024,3.16936366,13.68152590,16.28259250,109.85215379,0.65372699,1.70275411,92.96407186,32.26708966
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,360,18-24h,333,11988,4.29169061,18.69027715,13.64441671,96.94361121,0.35165116,2.27486095,94.96996997,35.47106176
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,720,0-6h,334,12024,262.78415691,367.61058960,5.67596730,11.61871998,18.45638824,112.98805082,42.19061876,323.82751943
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,720,6-12h,334,12024,3.15963079,13.69554831,16.23258992,97.07004018,0.57363514,1.84285651,94.25316035,41.34716840
